столе,10
стол,10
собою,10
смотрел,10
скорей,10
скорее,10
своих,10
своем,10
своего,10
самому,10
разом,10
прибавила,10
поскорее,10
понимаете,10
полиной,10
по-русски,10
обыкновению,10
нужно,10
недели,10
можете,10
крикнула,10
какие,10
историю,10
искренно,10
зато,10
жизнь,10
должно,10
дать,10
далее,10
дай,10
громко,10
голос,10
всяком,10
воксал,10
вместе,10
видимо,10
вид,10
вечером,10
бывает,10
бросился,10
pas,10
outchitel,10
a,10
часа,9
узнать,9
убежден,9
тон,9
такие,9
стороны,9
состоянии,9
смотрела,9
смеялась,9
слышал,9
сделать,9
самое,9
проиграли,9
последние,9
первого,9
ответа,9
одного,9
неделю,9
начинала,9
надежды,9
любила,9
конце,9
какое,9
каким-то,9
казалось,9
имею,9
имел,9
игроков,9
золота,9
других,9
друга,9
дороге,9
долг,9
гомбург,9
головой,9
голове,9
говорят,9
говорит,9
глазами,9
главное,9
выходит,9
выигрыш,9
восемьдесят,9
во-первых,9
велела,9
будете,9
больна,9
боже,9
баронесса,9
veuve,9
trente,9
mon,9
шляпу,8
хороша,8
характер,8
французик,8
удивлением,8
тридцать,8
то-то,8
тех,8
ставки,8
средних,8
спросить,8
собой,8
смотря,8
смех,8
сказали,8
свою,8
рулетки,8
руками,8
россии,8
рассказал,8
рад,8
прощайте,8
прошу,8
прошел,8
прочее,8
против,8
просить,8
проиграла,8
проиграет,8
продолжать,8
посмотреть,8
посмотрел,8
последнее,8
помилуйте,8
пока,8
поеду,8
ответила,8
обстоятельства,8
обер-кельнер,8
нужны,8
никто,8
начинал,8
моему,8
мимо,8
лестнице,8
которое,8
кого,8
какой-нибудь,8
какие-то,8
какая-то,8
иной,8
из-за,8
игры,8
игрок,8
зельм,8
закричал,8
жаль,8
единственно,8
едва,8
десяти,8
деньгами,8
дверь,8
дальше,8
гульден,8
гораздо,8
второй,8
времени,8
вошел,8
взяла,8
вашего,8
билеты,8
бароном,8
une,8
si,8
rouge,8
il,8
comme,8
ce,8
c'est,8
черт,7
черную,7
хуже,7
форма,7
утро,7
узнал,7
третий,7
те,7
такую,7
странное,7
столом,7
стала,7
ставка,7
ста,7
спокойно,7
скажи,7
семьсот,7
семьдесят,7
семь,7
самых,7
рядом,7
русских,7
рублей,7
ровно,7
решился,7
расчет,7
пяти,7
пуант,7
продолжал,7
проговорил,7
прогнала,7
пришла,7
потапыча,7
понять,7
понял,7
поклонился,7
плечами,7
платье,7
перед,7
перебил,7
парке,7
палкой,7
отношения,7
объявил,7
номер,7
немедленно,7
некоторое,7
неизвестно,7
наших,7
насчет,7
наслаждение,7
москве,7
молча,7
могли,7
могла,7
минуты,7
